Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING
alignment_06	T06	29	1	1	13.1459	34.0742	61.2336	((((24_0_0:0.02854606,12_0_0:0.02854606)2:0.11823078,(3_0_0:0.06284907,14_0_0:0.06284907)5:0.08392777)6:0.49120553,((18_0_0:0.58215153,(21_0_0:0.54555381,6_0_0:0.54555381)10:0.03659772)11:0.00743172,(((6_1_0:0.15934471,26_1_0:0.15934471)14:0.38622645,21_1_0:0.54557116)16:0.03657512,18_1_0:0.58214629)18:0.00743696)19:0.04839912)20:0.79778330,((((7_0_0:0.31543315,((17_0_0:0.07420974,4_0_0:0.07420974)24:0.19779585,16_0_0:0.27200558)26:0.04342757)27:0.04203206,9_0_0:0.35746522)29:0.55872824,(11_0_0:0.09323896,22_0_0:0.09323896)32:0.82295450)33:0.21568038,((19_0_0:0.23261996,20_0_0:0.23261996)36:0.57103061,((13_0_0:0.35413059,((15_0_0:0.15994927,8_0_0:0.15994927)40:0.00352101,2_0_0:0.16347027)42:0.19066031)43:0.21289796,(10_0_0:0.44760116,(1_0_0:0.32470130,((5_0_0:0.05598425,23_0_0:0.05598425)48:0.06837127,25_0_0:0.12435552)50:0.20034578)51:0.12289987)52:0.11942739)53:0.23662202)54:0.32822328)55:0.30389183);

alignment_07	T07	26	1	1	11.4287	41.056	53.1302	(((18_0_0:0.58215865,((6_0_0:0.15934400,26_0_0:0.15934400)3:0.38622216,21_0_0:0.54556616)5:0.03659249)6:0.05585112,((3_0_0:0.06284360,14_0_0:0.06284360)9:0.08394422,(24_0_0:0.02856208,12_0_0:0.02856208)12:0.11822574)13:0.49122196)14:0.79775357,(((11_0_0:0.09321201,22_0_0:0.09321201)17:0.82297535,((7_0_0:0.31542196,((4_0_0:0.07421274,17_0_0:0.07421274)21:0.19779285,16_0_0:0.27200560)23:0.04341636)24:0.04203393,9_0_0:0.35745589)26:0.55873147)27:0.21568784,(((13_0_0:0.35414459,(2_0_0:0.16347201,(8_0_0:0.15995929,15_0_0:0.15995929)32:0.00351272)33:0.19067259)34:0.21288619,((((5_0_0:0.05598118,23_0_0:0.05598118)37:0.06837410,25_0_0:0.12435529)39:0.20031529,1_0_0:0.32467057)41:0.12293549,10_0_0:0.44760606)43:0.11942472)44:0.23662598,(20_0_0:0.23262596,19_0_0:0.23262596)47:0.57103081)48:0.32821844)49:0.30388813);

alignment_08	T08	27	1	1	11.3897	35.056	59.0845	((((((6_1_0:0.15934912,26_1_0:0.15934912)2:0.38620425,21_1_0:0.54555337)4:0.03658916,18_1_0:0.58214253)6:0.05584340,((3_1_0:0.06284471,14_1_0:0.06284471)9:0.08392625,(12_1_0:0.02854295,24_1_0:0.02854295)12:0.11822801)13:0.49121497)14:0.32021899,((18_0_0:0.58216001,(21_0_0:0.54555682,(6_0_0:0.15936622,26_0_0:0.15936622)19:0.38619059)20:0.03660319)21:0.05582254,((14_0_0:0.06287008,3_0_0:0.06287008)24:0.08389685,(12_0_0:0.02855636,24_0_0:0.02855636)27:0.11821057)28:0.49121562)29:0.32022238)30:0.47757086,((((1_0_0:0.32467134,(25_0_0:0.12436642,(23_0_0:0.05597821,5_0_0:0.05597821)35:0.06838821)36:0.20030492)37:0.12293147,10_0_0:0.44760281)39:0.11944195,(13_0_0:0.35413775,(2_0_0:0.16346535,(15_0_0:0.15994870,8_0_0:0.15994870)44:0.00351665)45:0.19067240)46:0.21290701)47:0.23659963,(20_0_0:0.23263476,19_0_0:0.23263476)50:0.57100963)51:0.63213139);

alignment_09	T09	26	1	1	11.4287	36.056	46.2153	((((14_0_0:0.06285085,3_0_0:0.06285085)2:0.08391527,(24_0_0:0.02854635,12_0_0:0.02854635)5:0.11821977)6:0.49122175,(18_0_0:0.58214338,(21_0_0:0.54554906,(26_0_0:0.15935001,6_0_0:0.15935001)11:0.38619905)12:0.03659431)13:0.05584449)14:0.79778057,(((((2_0_0:0.16348707,(15_0_0:0.15993867,8_0_0:0.15993867)18:0.00354841)19:0.19065191,13_0_0:0.35413899)21:0.21291982,(10_0_0:0.44760550,(((23_0_0:0.05597959,5_0_0:0.05597959)25:0.06838906,25_0_0:0.12436864)27:0.20030757,1_0_0:0.32467622)29:0.12292929)30:0.11945331)31:0.23659578,(19_0_0:0.23262615,20_0_0:0.23262615)34:0.57102845)35:0.32822122,((9_0_0:0.35745050,(7_0_0:0.31543310,((17_0_0:0.07421763,4_0_0:0.07421763)40:0.19779631,16_0_0:0.27201395)42:0.04341915)43:0.04201740)44:0.55873889,(22_0_0:0.09322893,11_0_0:0.09322893)47:0.82296046)48:0.21568642)49:0.30389262);

alignment_10	T10	19	1	1	7.9262	27.056	34.2595	((((26_0_0:0.15934641,6_0_0:0.15934641)2:0.42279768,18_0_0:0.58214408)4:0.05584868,((3_0_0:0.06284215,14_0_0:0.06284215)7:0.08393136,(12_0_0:0.02854515,24_0_0:0.02854515)10:0.11822836)11:0.49121926)12:0.79777870,(((20_1_0:0.20350367,20_0_0:0.20350367)15:0.02911593,19_0_0:0.23261960)17:0.57105143,((10_0_0:0.44759998,(1_0_0:0.32467516,(25_0_0:0.12436695,(23_0_0:0.05598191,5_0_0:0.05598191)23:0.06838503)24:0.20030821)25:0.12292482)26:0.11943789,(((8_0_0:0.15993888,15_0_0:0.15993888)29:0.00354667,2_0_0:0.16348555)31:0.19065080,13_0_0:0.35413636)33:0.21290151)34:0.23663316)35:0.63210043);

alignment_11	T11	16	1	1	6.8857	21.0742	38.2377	((((10_0_0:0.44761400,(25_0_0:0.12435147,(5_0_0:0.05597641,23_0_0:0.05597641)4:0.06837507)5:0.32326253)6:0.11941506,(13_0_0:0.35414237,((8_0_0:0.15993482,15_0_0:0.15993482)10:0.00355420,2_0_0:0.16348902)12:0.19065335)13:0.21288669)14:0.23662005,(20_0_0:0.23263134,19_0_0:0.23263134)17:0.57101777)18:0.32823342,((9_0_0:0.35745414,(16_0_0:0.27201521,(4_0_0:0.07421467,17_0_0:0.07421467)23:0.19780054)24:0.08543893)25:0.55875858,(22_0_0:0.09321615,11_0_0:0.09321615)28:0.82299657)29:0.21566981);

alignment_12	T12	21	1	1	9.59798	24.056	45.2153	(((((16_0_0:0.27200701,(4_0_0:0.07421038,17_0_0:0.07421038)3:0.19779663)4:0.04341591,7_0_0:0.31542292)6:0.04203625,9_0_0:0.35745917)8:0.77440914,((19_0_0:0.23261798,20_0_0:0.23261798)11:0.57102379,(((2_0_0:0.16347145,(8_0_0:0.15993993,15_0_0:0.15993993)15:0.00353153)16:0.19066340,13_0_0:0.35413485)18:0.21291404,((1_0_0:0.32468075,(25_0_0:0.12435031,(23_0_0:0.05597911,5_0_0:0.05597911)23:0.06837120)24:0.20033044)25:0.12292922,(10_1_0:0.05490032,10_0_0:0.05490032)28:0.39270965)29:0.11943892)30:0.23659287)31:0.32822654)32:0.30392659,(((26_0_0:0.15934707,6_0_0:0.15934707)35:0.38620684,21_0_0:0.54555391)37:0.03659364,18_0_0:0.58214755)39:0.85364735);

alignment_13	T13	8	1	1	2.80118	4.54554	4.60839	(((14_0_0:0.06284735,3_0_0:0.06284735)2:0.08393189,(12_0_0:0.02854283,24_0_0:0.02854283)5:0.11823641)6:0.49120312,(((26_0_0:0.15935480,6_0_0:0.15935480)9:0.38618926,21_0_0:0.54554406)11:0.03660549,18_0_0:0.58214955)13:0.05583281);

alignment_14	T14	25	1	1	10.8067	39.1599	58.2342	((((12_0_0:0.02854497,24_0_0:0.02854497)2:0.11822325,(14_0_0:0.06284377,3_0_0:0.06284377)5:0.08392445)6:0.49121564,(21_0_0:0.58216667,18_0_0:0.58216667)9:0.05581719)10:0.79777996,((((10_0_0:0.44761698,((1_0_0:0.08301970,1_1_0:0.08301970)14:0.24165356,(25_0_0:0.12435054,(23_0_0:0.05598289,5_0_0:0.05598289)18:0.06836765)19:0.20032272)20:0.12294372)21:0.11942060,(13_0_0:0.35413769,((15_0_0:0.15993781,8_0_0:0.15993781)25:0.00353868,2_0_0:0.16347648)27:0.19066121)28:0.21289988)29:0.23661496,(19_0_0:0.23262814,20_0_0:0.23262814)32:0.57102440)33:0.32821896,((9_0_0:0.35745431,((16_0_0:0.27200430,(4_0_0:0.07422109,17_0_0:0.07422109)38:0.19778321)39:0.04344065,7_0_0:0.31544494)41:0.04200937)42:0.55873089,(22_0_0:0.09321077,11_0_0:0.09321077)45:0.82297443)46:0.21568629)47:0.30389233);

alignment_15	T15	26	1	1	11.4287	39.056	57.1302	((((3_0_0:0.06284334,14_0_0:0.06284334)2:0.08392446,(12_0_0:0.02855033,24_0_0:0.02855033)5:0.11821747)6:0.49122443,(((6_0_0:0.15937158,26_0_0:0.15937158)9:0.38617481,21_0_0:0.54554640)11:0.03659447,18_0_0:0.58214087)13:0.05585136)14:0.79780036,((((13_0_0:0.35415048,((15_0_0:0.15994337,8_0_0:0.15994337)18:0.00352102,2_0_0:0.16346439)20:0.19068609)21:0.21288767,(10_0_0:0.44759946,(1_0_0:0.32467984,(25_0_0:0.12436057,(23_0_0:0.05600393,5_0_0:0.05600393)27:0.06835664)28:0.20031927)29:0.12291962)30:0.11943870)31:0.23661801,(19_0_0:0.23262942,20_0_0:0.23262942)34:0.57102675)35:0.32823995,((22_0_0:0.09322071,11_0_0:0.09322071)38:0.82296162,((7_0_0:0.31542288,(16_0_0:0.27200406,(4_0_0:0.07422049,17_0_0:0.07422049)43:0.19778356)44:0.04341883)45:0.04204514,9_0_0:0.35746803)47:0.55871430)48:0.21571379)49:0.30389647);
