Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

alignment_01	T01	23	1	1	9.19657	15.3645	29.4873	(((((14_0_0:0.41304895,(10_0_0:0.01815963,11_0_0:0.01815963)3:0.39488932)4:0.18402612,((21_0_0:0.02315510,22_0_0:0.02315510)7:0.42914551,(15_0_0:0.09455582,6_0_0:0.09455582)10:0.35774479)11:0.14477446)12:0.04900079,(18_0_0:0.36450217,23_0_0:0.36450217)15:0.28157369)16:0.09066055,(12_0_0:0.57121820,(20_0_0:0.50464303,(1_0_0:0.19305429,17_0_0:0.19305429)21:0.31158874)22:0.06657516)23:0.16551822)24:0.03799492,((8_0_0:0.44378404,5_0_0:0.44378404)27:0.27080661,((7_0_0:0.32402392,(9_0_0:0.23493078,(4_0_0:0.04387605,16_0_0:0.04387605)32:0.19105474)33:0.08909313)34:0.30488485,(3_0_0:0.34236546,((13_0_0:0.12283474,2_0_0:0.12283474)38:0.05443044,19_0_0:0.17726518)40:0.16510028)41:0.28654331)42:0.08568188)43:0.06014069);

alignment_02	T02	23	1	1	9.13029	26.0946	42.3295	((((3_0_0:0.34235116,(19_0_0:0.17726378,(2_0_0:0.12285946,13_0_0:0.12285946)4:0.05440432)5:0.16508738)6:0.28655584,(((16_0_0:0.04386222,4_0_0:0.04386222)9:0.19106693,9_0_0:0.23492914)11:0.08908590,7_0_0:0.32401504)13:0.30489197)14:0.08570383,(5_0_0:0.44378278,8_0_0:0.44378278)17:0.27082805)18:0.06012023,((((18_0_0:0.36451121,23_0_0:0.36451121)21:0.18894936,(18_1_0:0.36450468,23_1_0:0.36450468)24:0.18895589)25:0.09262502,(((6_0_0:0.09456878,15_0_0:0.09456878)28:0.35773680,(21_0_0:0.02315337,22_0_0:0.02315337)31:0.42915220)32:0.14477564,(11_0_0:0.01815167,10_0_0:0.01815167)35:0.57892955)36:0.04900437)37:0.09064909,(20_0_0:0.50464431,(1_0_0:0.19304715,17_0_0:0.19304715)41:0.31159715)42:0.23209037)43:0.03799638);

alignment_03	T03	26	1	1	9.75988	33.1228	55.3159	((((18_0_0:0.36449885,(23_0_0:0.24742565,23_2_0:0.24742565)3:0.11707320)4:0.28157439,(((11_0_0:0.01818250,10_0_0:0.01818250)7:0.39486649,14_0_0:0.41304899)9:0.18402400,((21_0_0:0.02316178,22_0_0:0.02316178)12:0.42913881,((6_1_0:0.09457280,15_1_0:0.09457280)15:0.12671121,(15_0_0:0.09457328,6_0_0:0.09457328)18:0.12671074)19:0.23101658)20:0.14477240)21:0.04900025)22:0.09065804,((20_0_0:0.50464365,(1_0_0:0.19304914,17_0_0:0.19304914)26:0.31159450)27:0.06658850,12_0_0:0.57123214)29:0.16549913)30:0.03799880,((8_0_0:0.44379464,5_0_0:0.44379464)33:0.27079674,((7_0_0:0.32401785,((4_0_0:0.04385799,16_0_0:0.04385799)37:0.19107626,9_0_0:0.23493425)39:0.08908359)40:0.30490396,((19_0_0:0.17726308,(2_0_0:0.12283239,13_0_0:0.12283239)44:0.05443069)45:0.16508767,3_0_0:0.34235075)47:0.28657106)48:0.08566957)49:0.06013870);

alignment_04	T04	26	1	1	10.0791	34.1228	58.3159	((((((15_2_0:0.40848672,(15_0_0:0.09455590,6_0_0:0.09455590)3:0.31393082)4:0.04382657,(22_0_0:0.02315580,21_0_0:0.02315580)7:0.42915749)8:0.14476119,(14_0_0:0.41304630,(11_0_0:0.01815597,10_0_0:0.01815597)12:0.39489033)13:0.18402818)14:0.04900132,(23_0_0:0.36454383,(18_0_0:0.25663371,18_3_0:0.25663371)18:0.10791012)19:0.28153197)20:0.09066052,(12_0_0:0.57121174,((20_0_0:0.21724816,20_1_0:0.21724816)24:0.28740088,(17_0_0:0.19304717,1_0_0:0.19304717)27:0.31160187)28:0.06656270)29:0.16552458)30:0.03799062,((8_0_0:0.44380224,5_0_0:0.44380224)33:0.27082775,(((9_0_0:0.23494399,(16_0_0:0.04387923,4_0_0:0.04387923)37:0.19106477)38:0.08909407,7_0_0:0.32403807)40:0.30487766,(3_0_0:0.34236675,((2_0_0:0.12283514,13_0_0:0.12283514)44:0.05443823,19_0_0:0.17727337)46:0.16509338)47:0.28654898)48:0.08571425)49:0.06009696);

alignment_05	T05	20	1	1	8.59376	22.1228	37.4873	(((((14_0_0:0.41304752,(10_0_0:0.01815317,11_0_0:0.01815317)3:0.39489435)4:0.18402647,((21_0_0:0.02317476,22_0_0:0.02317476)7:0.42915801,(6_0_0:0.09455997,15_0_0:0.09455997)10:0.35777279)11:0.14474123)12:0.04900583,(23_0_0:0.36449757,18_0_0:0.36449757)15:0.28158226)16:0.09064381,((20_0_0:0.50464295,(17_0_0:0.19303736,1_0_0:0.19303736)20:0.31160559)21:0.06655910,12_0_0:0.57120205)23:0.16552159)24:0.03800666,((9_0_0:0.62891791,(3_0_0:0.34236196,((2_0_0:0.12284218,13_0_0:0.12284218)29:0.05442776,19_0_0:0.17726994)31:0.16509202)32:0.28655595)33:0.08567382,(5_0_0:0.44379183,8_0_0:0.44379183)36:0.27079990)37:0.06013858);
