Tree file : INDELible V1.03 (best viewed cut and paste in e.g. excel)

N.B. Simulation blocks with no random trees will have their trees printed for the first replicate only.

FILE	TREE	NTAXA	REP	PART	LENGTH	DEPTH	MAX PAIRWISE DISTANCE	TREE STRING

alignment_01	T01	28	1	1	14.1002	40.0293	68.1897	(((((2_0_0:0.45368014,((15_0_0:0.02716025,10_0_0:0.02716025)3:0.19431044,4_0_0:0.22147069)5:0.23220946)6:0.32290893,((((27_0_0:0.23648675,16_0_0:0.23648675)9:0.09903873,29_0_0:0.33552549)11:0.25033594,((18_0_0:0.14318249,((3_0_0:0.02928012,20_0_0:0.02928012)15:0.08683626,13_0_0:0.11611638)17:0.02706611)18:0.05689212,1_0_0:0.20007461)20:0.38578682)21:0.12929656,(26_0_0:0.43198068,6_0_0:0.43198068)24:0.28317731)25:0.06143108)26:0.14970178,23_0_0:0.92629086)28:0.03276358,(((12_0_0:0.67118183,(21_0_0:0.10023409,28_0_0:0.10023409)32:0.57094774)33:0.19030402,(((14_0_0:0.16038208,8_0_0:0.16038208)36:0.01460457,30_0_0:0.17498665)38:0.37578308,(22_0_0:0.28461476,9_0_0:0.28461476)41:0.26615498)42:0.31071612)43:0.09221562,((17_0_0:0.06548831,24_0_0:0.06548831)46:0.13252770,25_0_0:0.19801601)48:0.75568547)49:0.00535296)50:0.70886579,(19_0_0:0.58560991,7_0_0:0.58560991)53:1.08231032);

alignment_02	T02	29	1	1	13.0245	29.2846	51.5211	((((((11_0_0:0.04194073,5_0_0:0.04194073)2:0.31430271,2_0_0:0.35624344)4:0.09743273,(4_0_0:0.22147068,(10_0_0:0.02716085,15_0_0:0.02716085)8:0.19430983)9:0.23220549)10:0.32291557,((((16_0_0:0.23648144,27_0_0:0.23648144)13:0.09904066,29_0_0:0.33552211)15:0.25033015,((18_0_0:0.14318123,(13_0_0:0.11609964,(20_0_0:0.02926752,3_0_0:0.02926752)20:0.08683212)21:0.02708159)22:0.05688256,1_0_0:0.20006379)24:0.38578847)25:0.12930580,(6_0_0:0.43197974,26_0_0:0.43197974)28:0.28317831)29:0.06143368)30:0.18247797,(((24_0_0:0.06546950,17_0_0:0.06546950)33:0.13256889,25_0_0:0.19803839)35:0.75564596,(((9_0_0:0.28459133,22_0_0:0.28459133)38:0.26618821,((14_0_0:0.16039337,8_0_0:0.16039337)41:0.01460269,30_0_0:0.17499607)43:0.37578347)44:0.31071677,(28_0_0:0.10025348,21_0_0:0.10025348)47:0.76124282)48:0.09218805)49:0.00538536)50:0.70883844,(7_0_0:0.58562346,(19_0_0:0.12357862,19_1_0:0.12357862)54:0.46204484)55:1.08228469);

alignment_03	T03	30	1	1	14.7551	50.0293	73.1897	((19_0_0:0.58562554,7_0_0:0.58562554)2:1.08229009,((23_0_0:0.92630209,((((6_0_0:0.43198613,26_0_0:0.43198613)6:0.08840687,(6_2_0:0.43198426,26_2_0:0.43198426)9:0.08840875)10:0.19477151,((1_0_0:0.20008129,(((3_0_0:0.02927897,20_0_0:0.02927897)14:0.08683538,13_0_0:0.11611435)16:0.02707816,18_0_0:0.14319251)18:0.05688877)19:0.38578815,((27_0_0:0.23649188,16_0_0:0.23649188)22:0.09903659,29_0_0:0.33552847)24:0.25034097)25:0.12929508)26:0.06142918,((11_0_0:0.04193757,5_0_0:0.04193757)29:0.31429330,2_0_0:0.35623086)31:0.42036284)32:0.14970839)33:0.03275114,(((12_0_0:0.67118048,(21_0_0:0.10023930,28_0_0:0.10023930)37:0.57094118)38:0.19029820,((9_0_0:0.28461613,(22_0_0:0.00653858,22_1_0:0.00653858)42:0.27807756)43:0.26615338,(30_0_0:0.17498432,(14_0_0:0.16038016,8_0_0:0.16038016)47:0.01460416)48:0.37578520)49:0.31070916)50:0.09221319,(25_0_0:0.19805343,(24_0_0:0.06547211,17_0_0:0.06547211)54:0.13258132)55:0.75563843)56:0.00536137)57:0.70886240);

alignment_04	T04	30	1	1	14.8552	31.0098	57.2522	((((((((27_0_0:0.23647762,16_0_0:0.23647762)2:0.09904581,29_0_0:0.33552343)4:0.25035292,(((20_0_0:0.02926720,3_0_0:0.02926720)7:0.08683360,13_0_0:0.11610081)9:0.02708245,18_0_0:0.14318326)11:0.44269309)12:0.12928818,(6_0_0:0.43199351,26_0_0:0.43199351)15:0.28317101)16:0.06142330,((4_0_0:0.22147457,(10_0_0:0.02717006,15_0_0:0.02717006)20:0.19430451)21:0.23220899,((5_0_0:0.04193481,11_0_0:0.04193481)24:0.31430164,(2_0_0:0.24236240,2_4_0:0.24236240)27:0.11387405)28:0.09744711)29:0.32290427)30:0.14972361,23_0_0:0.92631144)32:0.03274254,((25_0_0:0.19801883,(17_0_0:0.06548096,24_0_0:0.06548096)36:0.13253788)37:0.75567148,(((28_0_0:0.10023502,21_0_0:0.10023502)40:0.07632960,((28_2_0:0.00982205,28_3_0:0.00982205)43:0.09041685,21_2_0:0.10023890)45:0.07632572)46:0.49462333,12_0_0:0.67118795)48:0.28250236)49:0.00536367)50:0.70886322,((19_0_0:0.58561035,7_0_0:0.58561035)53:0.88884371,(19_1_0:0.58562636,7_1_0:0.58562636)56:0.88882769)57:0.19346316);

alignment_05	T05	29	1	1	14.3824	34.0293	57.1897	(((23_0_0:0.92629343,(((26_0_0:0.43199362,6_0_0:0.43199362)3:0.28316778,((29_0_0:0.33552780,(16_0_0:0.23649037,27_0_0:0.23649037)7:0.09903743)8:0.25032346,((18_0_0:0.14320149,(3_0_0:0.02926715,20_0_0:0.02926715)12:0.11393433)13:0.05686950,1_0_0:0.20007098)15:0.38578028)16:0.12931014)17:0.06143019,((4_0_0:0.22147504,(10_0_0:0.02716125,15_0_0:0.02716125)21:0.19431379)22:0.23221562,((5_0_0:0.04193149,11_0_0:0.04193149)25:0.31432480,2_0_0:0.35625629)27:0.09743437)28:0.32290094)29:0.14970184)30:0.03275999,(((17_0_0:0.06548741,24_0_0:0.06548741)33:0.13254474,25_0_0:0.19803216)35:0.75567583,((12_0_0:0.67118702,(28_0_0:0.10023594,21_0_0:0.10023594)39:0.57095107)40:0.19030588,((9_0_0:0.28459588,22_0_0:0.28459588)43:0.26617415,(30_0_0:0.17499570,(8_0_0:0.16038938,14_0_0:0.16038938)47:0.01460632)48:0.37577432)49:0.31072287)50:0.09221509)51:0.00534544)52:0.70886428,(7_0_0:0.58561615,19_0_0:0.58561615)55:1.08230155);

